address,name
0x004d7b90,Graphics::DrawImage
0x004d7c00,Graphics::DrawImageF
0x004cd000,Graphics::DrawImageF
0x004dc0f0,Graphics::DrawImageRotated
0x004d7c80,Graphics::DrawImageRotatedF
0x004cd060,Graphics::DrawImageMatrix
0x004dc130,Graphics::DrawImageTransformHelper
0x004dc3e0,Graphics::DrawImageTransform
0x004dc4b0,Graphics::DrawImageTransformF
0x004dc480,Graphics::DrawImageTransform
0x004dc430,Graphics::DrawImageTransformF
0x004cd0d0,Graphics::DrawTriangleTex
0x004d7d70,Graphics::ClipRect
0x004d7dd0,Graphics::ClipRect
0x004cd190,Graphics::Translate
0x004de5d0,Graphics::DrawImageBox
0x004dd3f0,Graphics::DrawImageBox
0x004dc4e0,Graphics::DrawImageCel
0x004dc510,Graphics::DrawImageCel
0x004d7df0,Graphics::DrawImageCel
0x004d7e60,Graphics::DrawImageCel
0x004e2e90,Graphics::DrawStringColor
0x004e2ec0,Graphics::GetWordWrappedHeight
0x005007b0,HTTPTransfer::HTTPTransfer
0x00500860,HTTPTransfer
0x004fb7c0,HTTPTransfer::SocketWait
0x00510bf0,HTTPTransfer::GetThreadProc
0x00518ff0,HTTPTransfer::PrepareTransfer
0x00511440,HTTPTransfer::StartTransfer
0x00519260,HTTPTransfer::GetHelper
0x005193c0,HTTPTransfer::Get
0x00519400,HTTPTransfer::Get
0x00519490,HTTPTransfer::SendRequestString
0x004fb8d0,HTTPTransfer::Abort
0x00517dd0,HTTPTransfer::Reset
0x00516700,HTTPTransfer::UpdateStatus
0x00516900,HTTPTransfer::WaitFor
0x00516930,HTTPTransfer::GetResultCode
0x00516940,HTTPTransfer::GetContent
0x00548eb0,HyperlinkWidget::HyperlinkWidget
0x00544050,HyperlinkWidget::Draw
0x00541dd0,HyperlinkWidget::MouseEnter
0x00541df0,HyperlinkWidget::MouseLeave
0x004dcee0,Image::Image
0x004ea210,Image::Image
0x004e2f60,Image
0x004cd1f0,Image::GetWidth
0x004cd200,Image::GetHeight
0x004cd210,Image::GetCelHeight
0x004cd220,Image::GetCelWidth
0x004d7f00,Image::GetCelRect
0x004d7f40,Image::GetCelRect
0x004e8160,AnimInfo::AnimInfo
0x004ea2c0,AnimInfo::SetPerFrameDelay
0x004ea330,AnimInfo::Compute
0x004d7f80,AnimInfo::GetPerFrameCel
0x004d7fd0,AnimInfo::GetCel
0x004d80a0,Image::GetAnimCel
0x004d80c0,Image::DrawRect
0x004d81a0,Image::FillScanLines
0x004fc170,DataElement::DataElement
0x004fc180,DataElement
0x005013b0,SingleDataElement::SingleDataElement
0x005013e0,SingleDataElement
0x0050a9f0,SingleDataElement::Duplicate
0x0050f2b0,ListDataElement::ListDataElement
0x00502040,ListDataElement
0x00512210,ListDataElement::ListDataElement
0x00512480,ListDataElement::Duplicate
0x004d8200,CharData::CharData
0x004f98c0,FontData::FontData
0x004f99a0,FontData
0x004cd290,FontData::Ref
0x004e2fe0,FontData::Error
0x004e3120,FontData::DataToLayer
0x004f6e40,FontData::HandleCommand
0x004e3260,FontData::Load
0x004f9570,FontData::LoadLegacy
0x004d8240,ActiveFontLayer::ActiveFontLayer
0x004d82a0,ActiveFontLayer::ActiveFontLayer
0x004cd2b0,ActiveFontLayer
0x004f9c20,ImageFont::ImageFont
0x004f6b20,ImageFont::ImageFont
0x004f9b70,ImageFont::ImageFont
0x004f9d00,ImageFont::ImageFont
0x004e8460,ImageFont::GenerateActiveFontLayers
0x004dc540,ImageFont::StringWidth
0x004dcf10,ImageFont::CharWidthKern
0x00548980,ListWidget::ListWidget
0x00548aa0,ListWidget
0x00542470,ListWidget::RemovedFromManager
0x00543620,ListWidget::GetStringAt
0x00541710,ListWidget::GetLineCount
0x00541cf0,ListWidget::GetLineIdx
0x00548b30,ListWidget::RemoveLine
0x00548ce0,ListWidget::RemoveAll
0x005418f0,ListWidget::GetOptimalWidth
0x00541800,ListWidget::GetOptimalHeight
0x00541950,ListWidget::MouseMove
0x005401f0,ListWidget::MouseDown
0x00540230,ListWidget::MouseLeave
0x005402c0,ListWidget::MouseWheel
0x004e3b20,MemoryImage::MemoryImage
0x004e3b80,MemoryImage::MemoryImage
0x004eab00,MemoryImage::MemoryImage
0x004cd3a0,MemoryImage::Init
0x004cd430,MemoryImage::NormalDrawLine
0x004cdc70,MemoryImage::AdditiveDrawLine
0x004d8340,MemoryImage::DrawLine
0x004ce140,MemoryImage::NormalDrawLineAA
0x004d84c0,MemoryImage::DrawLineAA
0x004cf060,MemoryImage::GetNativeAlphaData
0x004cf270,MemoryImage::GetRLAlphaData
0x004cf4c0,MemoryImage::GetRLAdditiveData
0x004cf7d0,MemoryImage::DeleteExtraBuffers
0x004cf7f0,MemoryImage::ReInit
0x004cf960,MemoryImage::FillRect
0x004cfb30,MemoryImage::ClearRect
0x004cfbb0,MemoryImage::Clear
0x004cfc00,MemoryImage::AdditiveBlt
0x004d0640,MemoryImage::NormalBlt
0x004d13f0,MemoryImage::Blt
0x004d1440,MemoryImage::BltF
0x004d8930,MemoryImage::StretchBltClipHelper
0x004d8a20,MemoryImage::StretchBltMirrorClipHelper
0x004db1f0,MemoryImage::StretchBlt
0x004d2b50,MemoryImage::BltMatrix
0x004d2e60,MemoryImage::BltTrianglesTex
0x00523c70,Sexy::ModVal
0x00523cd0,Sexy::ModVal
0x0054b740,MusicInterface::MusicInterface
0x0054b750,MusicInterface
0x0054b770,MusicInterface::FadeIn
0x005001b0,SexyPerf::BeginPerf
0x0051a730,ResourceManager::ParseImageResource
0x0050a0d0,ResourceManager::LoadAlphaGridImage
0x0050a300,ResourceManager::LoadAlphaImage
0x00511e20,ResourceManager::DoLoadImage
0x0050d410,ResourceManager::DoLoadFont
0x00555350,Sexy::SWTri_AddDrawTriFunc
0x00524db0,SexyApp::SexyApp
0x00524ae0,SexyApp
0x00524ff0,SexyApp::Validate
0x00525960,SexyApp::ReadFromRegistry
0x00526580,SexyApp::WriteToRegistry
0x00527c70,SexyApp::OpenHTMLTemplate
0x005281f0,SexyApp::OpenRegisterPage
0x00524960,SexyApp::ShouldCheckForUpdate
0x005249d0,SexyApp::UpdateCheckQueried
0x00524a00,SexyApp::URLOpenSucceeded
0x005281f0,SexyApp::OpenRegisterPage
0x005266b0,SexyApp::CheckSignature
0x005269f0,SexyApp::HandleCmdLineParam
0x00526d80,SexyApp::GetGameSEHInfo
0x00527950,SexyApp::GetSEHWebParams
0x00527180,SexyApp::InitPropertiesHook
0x00527580,SexyApp::Init
0x00524ac0,SexyApp::UpdateFrames
0x00528fe0,GetSHGetFolderPath
0x0053d450,SexyAppBase::SexyAppBase
0x0053c8a0,SexyAppBase
0x00537720,ChangeDisplayWindowEnumProc
0x00529030,SexyAppBase::ClearUpdateBacklog
0x00529060,SexyAppBase::IsScreenSaver
0x00536520,SexyAppBase::ReadDemoBuffer
0x0052bc00,SexyAppBase::WriteDemoBuffer
0x0052b020,SexyAppBase::DemoSyncBuffer
0x005290a0,SexyAppBase::NewDialog
0x00529130,SexyAppBase::DoDialog
0x0052dbe0,SexyAppBase::GetDialog
0x0052e350,SexyAppBase::KillDialog
0x00534330,SexyAppBase::AddDialog
0x005291e0,SexyAppBase::DialogButtonPress
0x00529230,SexyAppBase::DialogButtonDepress
0x00529290,SexyAppBase::URLOpenSucceeded
0x0052e4b0,SexyAppBase::OpenURL
0x0052e570,SexyAppBase::GetProductVersion
0x005292b0,SexyAppBase::WaitForLoadingThread
0x005292e0,SexyAppBase::SetCursorImage
0x0052e6e0,SexyAppBase::TakeScreenshot
0x00538d00,SexyAppBase::DumpProgramInfo
0x00529300,SexyAppBase::GetLoadingThreadProgress
0x0052eb20,SexyAppBase::RegistryWrite
0x0052ee50,SexyAppBase::RegistryWriteString
0x0052eeb0,SexyAppBase::RegistryWriteBoolean
